State,Accidents 2010,Accidents 2009,Percent Change,Liability,Collision,Comprehensive,Average Expenditure,POPPCT_URBAN,AREAPCT_URBAN,POPDEN_URBAN,POPPCT_RURAL,AREAPCT_RURAL,POPDEN_RURAL,Median Income,Standard Deviation,Pop 16+,Male,Female,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,Median Age
Alabama,862,848,2,353.91,297.16,132.14,651.24,59.04,4.36,1278.5,40.96,95.64,40.4,48100,2816,3781800,1810745,1971055,479175,1228423,1281887,657792,37.9
Alaska,56,64,-13,553.59,370.39,145.99,890.35,66.02,0.05,1802.6,33.98,99.95,0.4,67977,2808,544208,284293,259915,74881,196099,196935,54938,33.8
Arizona,759,806,-6,471.17,263.49,198.05,804.05,89.81,1.92,2625.4,10.19,98.08,5.8,55107,2617,4944481,2437034,2507447,633211,1679187,1568774,881831,35.9
Arkansas,571,596,-4,367.58,288.97,165.41,662.42,56.16,2.11,1492.8,43.84,97.89,25.1,45343,2895,2284744,1108864,1175880,284105,742100,758257,419981,37.4
California,2720,3090,-12,444.9,338.21,100.27,745.74,94.95,5.28,4303.7,5.05,94.72,12.7,63788,1389,29079048,14337992,14741056,3922951,10500587,9288864,4246514,35.2
Colorado,450,465,-3,446.62,254.24,143.17,730.42,86.15,1.47,2836.1,13.85,98.53,6.8,70779,2915,3937831,1962109,1975722,487698,1425922,1340342,549625,36.1
Connecticut,320,224,43,608.62,335.85,121.46,965.22,87.99,37.72,1721.9,12.01,62.28,142.3,77554,2462,2859207,1373924,1485283,326659,904815,1019049,506559,40
Delaware,101,116,-13,727.22,285.33,106.06,1030.98,83.3,20.88,1838.3,16.7,79.12,97.3,64882,2650,716853,342696,374157,90905,227504,244483,129277,38.8
District of Columbia,24,29,-17,613.96,433.44,229.84,1133.87,100,100,9856.5,0,0,,66896,3917,512575,239203,273372,87015,205404,139680,68809,33.8
Florida,2444,2560,-5,745.26,254.85,114.26,1036.76,91.16,13.81,2315.2,8.84,86.19,35.9,51782,1814,15283266,7391989,7891277,1739657,4720799,5079161,3259602,40.7
Georgia,1247,1292,-3,431.35,328.49,154.3,749.09,75.07,8.34,1516,24.93,91.66,45.8,51842,2141,7478195,3601334,3876861,970157,2733100,2460809,1032035,35.3
Hawaii,113,109,4,476.32,298.66,106.19,765.83,91.93,6.12,3180.8,8.07,93.88,18.2,69964,3209,1091079,543085,547994,130312,361706,369327,195138,38.6
Idaho,209,226,-8,330.41,218.25,110.05,547.78,70.58,0.6,2216.8,29.42,99.4,5.6,55288,2196,1184858,589075,595783,154418,400574,388850,194668,34.6
Illinois,927,911,2,418.74,282.92,110.8,732.56,88.49,7.11,2877.6,11.51,92.89,28.6,59610,1732,10072849,4884648,5188201,1246307,3501847,3344086,1609213,36.6
Indiana,754,693,9,365.41,242.13,109.12,624.86,72.44,7.05,1860,27.56,92.95,53.7,54218,3024,5061394,2462243,2599151,650310,1668175,1715911,841108,37
Iowa,390,371,5,287.92,198.18,158.53,546.59,64.02,1.71,2045.8,35.98,98.29,20,57598,1577,2402200,1178244,1223956,305867,747131,812476,452888,38.1
Kansas,431,386,12,326.65,247.38,203.73,625.17,74.2,1.19,2176.5,25.8,98.81,9.1,54118,2134,2206600,1084540,1122060,288159,724393,737511,376116,36
Kentucky,760,791,-4,478.68,250.52,123.52,722.66,58.38,3.57,1795.8,41.62,96.43,47.4,48301,3317,3432660,1670520,1762140,412801,1142878,1182090,578227,38.1
Louisiana,721,824,-13,684.9,398.57,211.46,1121.46,73.19,4.56,1685.8,26.81,95.44,29.5,46181,3817,3544274,1714324,1829950,474531,1193032,1189937,557857,35.8
Maine,161,159,1,327.3,251,92.32,582.29,38.66,1.17,1428,61.34,98.83,26.7,56323,1982,1089252,527315,561937,116072,316000,410676,211080,42.7
Maryland,496,549,-10,578.82,321.07,141.87,947.7,87.2,20.65,2511.4,12.8,79.35,96,75442,2699,4584109,2185344,2398765,557360,1557614,1597972,707642,38
Massachusetts,347,340,2,540.71,302.11,115.07,890.83,91.97,38.29,2016.3,8.03,61.71,109.2,71603,2577,5303787,2531101,2772686,677888,1732290,1815804,902724,39.1
Michigan,942,872,8,544.2,381.71,147.6,934.6,74.57,6.41,2034.1,25.43,93.59,47.5,54379,2041,7832236,3798521,4033715,973889,2442123,2762030,1361530,38.9
Minnesota,411,421,-2,413.56,201.93,161.47,693.08,73.27,2.14,2279,26.73,97.86,18.2,61482,1887,4168319,2051872,2116447,502799,1396680,1437262,683121,37.4
Mississippi,641,700,-8,419.59,301.4,180.85,745.17,49.35,2.36,1324,50.65,97.64,32.8,44842,3326,2299852,1100634,1199218,304834,762200,764301,380407,36
Missouri,821,878,-6,386.99,249.95,157.59,678.04,70.44,2.99,2053.5,29.56,97.01,26.6,53839,2535,4730501,2289523,2440978,589264,1524083,1611850,838294,37.9
Montana,189,221,-14,391.72,239.88,185.47,656.47,55.89,0.2,1860.8,44.11,99.8,3,48508,2170,792520,395598,396922,94611,235809,288690,146742,39.8
Nebraska,190,223,-15,337.55,208.98,174.55,592.69,73.13,0.68,2549.1,26.87,99.32,6.4,61697,2069,1417810,697101,720709,182527,466014,471902,246677,36.2
Nevada,257,243,6,624.28,306.87,128.75,930.72,94.2,0.7,3314.8,5.8,99.3,1.4,60165,2259,2109730,1061342,1048388,248829,770329,692026,324359,36.3
New Hampshire,128,110,16,386.07,267.53,96.24,706.24,60.3,7.19,1232.6,39.7,92.81,62.9,78300,1940,1066277,521320,544957,123114,323650,404204,178268,41.1
New Jersey,556,584,-5,804.96,347.52,123.96,1157.3,94.68,39.7,2851.2,5.32,60.3,105.5,73993,2871,6976489,3351572,3624917,767228,2348098,2425361,1185993,39
New Mexico,349,361,-3,431.94,280.82,175.74,703.9,77.43,0.68,1928.5,22.57,99.32,3.9,53037,3544,1600398,783804,816594,203539,515768,548945,272255,36.7
New York,1201,1158,4,723.78,340.43,143.49,1078.88,87.87,8.68,4161.4,12.13,91.32,54.6,58497,1551,15588804,7441137,8147667,1983517,5269354,5182359,2617943,38
North Carolina,1320,1313,1,363.67,232.31,111.09,599.9,66.09,9.48,1367.2,33.91,90.52,73.5,51504,2260,7510570,3610138,3900432,938618,2573744,2507407,1234079,37.4
North Dakota,105,140,-25,250.41,198.18,220.9,528.81,59.9,0.27,2192.2,40.1,99.73,3.9,59937,2716,539946,271997,267949,81020,165747,178476,97477,37
Ohio,1080,1022,6,357.83,236.85,104.46,619.46,77.92,10.82,2033.7,22.08,89.18,69.9,53920,1754,9133831,4404397,4729434,1099491,2889790,3194457,1622015,38.8
Oklahoma,668,737,-9,407.63,283.9,170.92,700.35,66.24,1.9,1901.7,33.76,98.1,18.8,50650,2436,2924289,1433439,1490850,381186,967692,966093,506714,36.2
Oregon,317,377,-16,499.07,216.63,91.46,724.42,81.03,1.15,2804.9,18.97,98.85,7.7,59462,1769,3064689,1503630,1561059,358778,1023669,1048641,533533,38.4
Pennsylvania,1324,1256,5,486.72,299.37,120.49,812.15,78.66,10.52,2123.4,21.34,89.48,67.7,56773,1772,10260299,4941116,5319183,1261381,3126788,3562748,1959307,40.1
Rhode Island,67,83,-19,664.77,351.47,116.93,984.95,90.73,38.75,2383.8,9.27,61.25,154,60662,2033,857232,408324,448908,119969,263822,292939,151881,39.4
South Carolina,809,894,-10,461.39,240.29,147.96,737.74,66.33,7.92,1288.1,33.67,92.08,56.3,48999,1716,3669965,1763417,1906548,476445,1193348,1243223,631874,37.9
South Dakota,140,131,7,274.51,183.82,195.55,525.16,56.65,0.3,2038.3,43.35,99.7,4.7,53293,2403,634183,315054,319129,81539,198541,214722,116581,36.9
Tennessee,1032,986,5,370.64,265.71,121.89,641.17,66.39,7.05,1450.3,33.61,92.95,55.6,45348,1477,5022781,2417135,2605646,606364,1678127,1712151,853462,38
Texas,3023,3104,-3,479.43,350.18,183.97,848.11,84.7,3.35,2435.3,15.3,96.65,15.2,55542,1362,19035255,9350891,9684364,2572969,7071855,6033027,2601886,33.6
Utah,253,244,4,451.92,261.06,105.08,717.25,90.58,1.11,2737.1,9.42,98.89,3.2,66629,2306,1978979,985395,993584,318029,778162,547205,249462,29.2
Vermont,71,74,-4,333.39,270.21,109.54,630.19,38.9,1.69,1558.8,61.1,98.31,42.2,65721,2640,513248,250500,262748,64873,147981,192576,91078,41.5
Virginia,740,758,-2,391.92,253.35,119.09,673.62,75.45,6.75,2265.2,24.55,93.25,53.3,70937,2309,6362861,3089650,3273211,802099,2199347,2168964,976937,37.5
Washington,460,492,-7,544.55,245.84,108.43,815.27,84.05,3.57,2380,15.95,96.43,16.7,65997,2421,5327767,2634593,2693174,650053,1842086,1823370,827677,37.3
West Virginia,315,357,-12,504.54,299.11,182.54,830.1,48.72,2.66,1409.9,51.28,97.34,40.6,50267,2959,1511356,738594,772762,168999,458192,540981,297404,41.3
Wisconsin,572,561,2,362.92,203.67,116.34,613.37,70.15,3.47,2123.3,29.85,96.53,32.5,59167,1686,4506907,2218662,2288245,549256,1447360,1573564,777314,38.5
Wyoming,155,134,16,319.15,267.94,199.63,621.08,64.76,0.2,1876.2,35.24,99.8,2,61341,2563,443141,225399,217742,56429,144615,157090,70090,36.8
